Position,Freq_D,Freq_R,SNPs
2532,100,100,1
9143,100,100,1
13460,100,100,1
14251,100,100,1
14401,98.63,100,1
15117,100,99.56,1
17608,100,100,1
23174,100,100,1
27469,100,100,1
33457,100,100,1
33551,98.68,100,1
35097,100,100,1
36538,100,100,1
39758,100,100,1
40162,100,100,1
42281,100,100,1
43945,100,100,1
50557,100,99.16,1
50854,100,100,1
51949,100,100,1
54394,100,100,1
60821,100,100,1
63771,100,100,1
70267,100,100,1
74059,100,100,1
89200,100,100,1
97696,100,100,1
101727,98.44,100,1
103600,100,100,1
123520,100,100,1
126803,100,100,1
133862,98.68,100,1
135542,100,100,1
139756,100,100,1
143207,100,99.35,1
157292,100,100,1
157663,100,100,1
162581,100,100,1
176303,100,99.39,1
195360,100,99.25,1
199470,100,100,1
203269,99,100,1
206481,96.97,90.91,1
206484,96.88,100,1
207226,100,100,1
208322,100,98.99,1
212353,100,100,1
217201,100,100,1
218461,100,100,1
223752,100,100,1
225668,100,100,1
233358,100,100,1
233364,100,100,1
234051,100,100,1
243598,100,100,1
249522,100,100,1
251575,100,100,1
251669,100,100,1
257073,98.77,100,1
260282,100,100,1
282188,100,100,1
282822,100,100,1
285550,100,100,1
302615,100,100,1
304923,100,100,1
309765,100,99.46,1
316129,100,100,1
320180,100,100,1
325505,100,100,1
331588,100,100,1
342146,100,100,1
343281,100,100,1
381030,100,100,1
391853,100,99.25,1
392261,100,100,1
408723,100,100,1
412280,100,100,1
422745,100,100,1
437128,100,100,1
438271,97.83,100,1
444351,100,98.39,1
445780,100,100,1
447442,100,100,1
455325,100,100,1
455329,100,100,1
468357,100,100,1
478358,100,100,1
483935,98.92,100,1
491742,100,100,1
492150,100,100,1
498531,100,100,1
505974,100,100,1
514657,100,100,1
514907,100,100,1
517358,100,100,1
517411,100,100,1
519185,100,100,1
522081,100,99.07,1
524891,100,100,1
527316,100,100,1
528354,100,100,1
534427,100,100,1
534691,100,100,1
546357,100,100,1
555991,100,100,1
557133,100,99.32,1
563420,100,100,1
565404,100,100,1
565655,100,100,1
569897,50,72.73,1
571943,100,100,1
573384,100,99.35,1
580772,100,100,1
584171,98.18,100,1
584438,100,100,1
584511,100,100,1
589536,98.63,98.95,1
590763,100,100,1
598121,100,100,1
599868,100,100,1
600348,100,100,1
632330,100,100,1
637922,100,100,1
643101,100,100,1
648856,100,100,1
655986,98.96,100,1
657578,100,100,1
659341,100,100,1
662911,100,100,1
663676,100,100,1
663907,100,100,1
664249,100,100,1
667659,100,100,1
670545,100,100,1
684290,100,100,1
690248,100,100,1
690450,100,100,1
700776,100,100,1
705602,100,100,1
709226,100,100,1
712693,100,92.92,1
713310,100,100,1
715266,100,100,1
717588,100,100,1
726703,100,100,1
733798,100,100,1
736710,100,100,1
752343,100,100,1
757182,100,100,1
763031,100,100,1
764995,100,100,1
766603,38.89,0,2
767414,100,100,1
767480,100,100,1
773809,100,100,1
776100,100,100,1
784440,100,100,1
790180,100,100,1
796509,100,100,1
815236,100,100,1
815851,100,100,1
820752,100,100,1
821907,100,98.68,1
832201,100,100,1
832246,100,100,1
843391,100,100,1
871271,98.67,100,1
885542,100,100,1
894888,100,100,1
909280,100,100,1
911261,100,100,1
913274,100,100,1
916046,100,100,1
919466,98.85,98.21,1
931123,100,100,1
932280,100,100,1
933699,100,100,1
934230,100,99.47,1
934611,100,100,1
938246,100,100,1
941845,100,100,1
942479,100,100,1
948294,100,100,1
951142,100,100,1
957117,100,100,1
960367,100,100,1
990533,100,100,1
996982,100,100,1
1011198,100,99.19,1
1014815,100,100,1
1018746,100,100,1
1024346,100,100,1
1032913,100,100,1
1037355,100,100,1
1039245,100,100,1
1040706,100,98.9,1
1041129,100,100,1
1041445,100,100,1
1054784,100,100,1
1055049,100,100,1
1057037,100,100,1
1057788,100,100,1
1063765,100,100,1
1071797,100,100,1
1080192,100,99.38,1
1081211,100,100,1
1097023,98.39,100,1
1098523,100,100,1
1103249,100,100,1
1104690,100,99.08,1
1105284,100,100,1
1107434,100,100,1
1107917,100,100,1
1107940,100,98.69,1
1109163,100,100,1
1110956,100,100,1
1111784,100,100,1
1113290,100,100,1
1123597,100,100,1
1131300,100,100,1
1132368,100,100,1
1142266,100,97.1,1
1143832,100,100,1
1144585,100,100,1
1147614,100,100,1
1148259,100,100,1
1154653,100,99.25,1
1168344,100,100,1
1186461,100,100,1
1199547,100,100,1
1203824,100,100,1
1207431,100,100,1
1211369,100,99.51,1
1220570,100,100,1
1230778,100,100,1
1235446,100,100,1
1248382,100,100,1
1248936,100,100,1
1250340,100,99.43,1
1250357,100,100,1
1251199,100,100,1
1254562,100,99.33,1
1257571,100,98.48,1
1281443,100,100,1
1281771,100,100,1
1287112,100,100,1
1297327,100,100,1
1297999,100,100,1
1305593,43.4,28.57,1
1306259,100,100,1
1310316,100,100,1
1317059,100,100,1
1327942,100,99.45,1
1341040,100,100,1
1341044,100,100,1
1351172,100,100,1
1354061,98.59,100,1
1354437,100,100,1
1358940,100,100,1
1362006,100,100,1
1367484,100,100,1
1368947,100,100,1
1373170,96.15,99.02,1
1389738,100,100,1
1390763,100,100,1
1395010,100,100,1
1397201,100,100,1
1400396,100,100,1
1404169,100,100,1
1410062,100,99.33,1
1410597,100,100,1
1417554,100,100,1
1424699,100,100,1
1428506,100,100,1
1441533,97.44,100,1
1445474,98.59,98.17,1
1446923,100,100,1
1447774,100,100,1
1448907,100,99.24,1
1452071,100,100,1
1458144,100,100,1
1470523,100,100,1
1479085,100,100,1
1480024,100,100,1
1480242,5.81,14.05,1
1480945,45.1,35.53,1
1480948,46.94,35.33,1
1481185,100,99.59,1
1490905,100,100,1
1490911,100,100,1
1492194,100,100,1
1496964,100,100,1
1498275,100,100,1
1505194,100,100,1
1505973,100,100,1
1510649,100,100,1
1512031,100,100,1
1521776,100,100,1
1523175,100,100,1
1523791,100,100,1
1526706,100,99.44,1
1540141,98.18,100,1
1544255,100,100,1
1546703,100,100,1
1548087,100,100,1
1559562,100,100,1
1570513,100,100,1
1574206,100,100,1
1580439,100,100,1
1584379,100,100,1
1585283,100,99.34,1
1585404,100,100,1
1586249,100,99.32,1
1588456,100,100,1
1600685,98.8,100,1
1608276,100,100,1
1611283,100,100,1
1612600,5,0,2
1612603,5.15,0,2
1612606,7,14.34,1
1612621,14.56,27.94,1
1612648,29.59,38.91,1
1613960,100,100,1
1627351,100,100,1
1629128,100,100,1
1639418,100,100,1
1639643,100,100,1
1640442,100,100,1
1652831,100,100,1
1659994,100,100,1
1688300,100,100,1
1691799,100,100,1
1692795,98.63,100,1
1694547,100,100,1
1695674,100,100,1
1699849,100,100,1
1706746,100,100,1
1709432,100,100,1
1709899,100,100,1
1713163,0,28.57,2
1713192,100,100,1
1716472,100,100,1
1718761,100,100,1
1719322,100,100,1
1719391,100,100,1
1721831,100,100,1
1724120,100,100,1
1726816,100,100,1
1734994,100,99.39,1
1736638,100,100,1
1740771,97.92,100,1
1745571,100,100,1
1755599,100,100,1
1760923,100,100,1
1761789,100,99.13,1
1769099,100,100,1
1771320,100,100,1
1774048,60.61,56,1
1774051,63.64,54.9,1
1777213,100,99.25,1
1792777,100,100,1
1792778,100,100,1
1793769,100,100,1
1797577,100,100,1
1805948,100,100,1
1826054,100,100,1
1839260,100,100,1
1839759,100,100,1
1847811,100,100,1
1849609,100,100,1
1859559,100,100,1
1861274,100,100,1
1866104,100,100,1
1866105,100,99.2,1
1872959,100,100,1
1884335,100,100,1
1888128,100,100,1
1889073,100,100,1
1894422,100,100,1
1899351,98.78,100,1
1900800,100,100,1
1906336,100,100,1
1916137,100,100,1
1920120,100,99.34,1
1924959,100,100,1
1935695,100,100,1
1936525,100,100,1
1939763,100,100,1
1943039,100,99.42,1
1943592,100,100,1
1947903,100,100,1
1952160,100,100,1
1956523,100,100,1
1963957,100,99.46,1
1966720,34.33,0,2
1971725,100,100,1
1981056,100,100,1
2007785,100,100,1
2010614,100,100,1
2017291,100,100,1
2018817,100,100,1
2019236,100,100,1
2019942,100,100,1
2053411,100,100,1
2053682,100,100,1
2062922,100,100,1
2072190,100,100,1
2074509,100,100,1
2074565,100,100,1
2074754,100,100,1
2077218,100,100,1
2084526,100,100,1
2093715,100,99.49,1
2097144,100,100,1
2097990,100,100,1
2108890,100,99.31,1
2110365,100,100,1
2120796,100,100,1
2122625,100,99.35,1
2122976,100,100,1
2123169,100,100,1
2126366,100,100,1
2128372,100,100,1
2129281,100,100,1
2130529,98.15,100,1
2133475,30,43.22,1
2134215,100,100,1
2145878,100,100,1
2151678,100,100,1
2154724,100,100,1
2156868,100,100,1
2158109,100,100,1
2160998,100,100,1
2174216,100,100,1
2177073,100,100,1
2199052,100,100,1
2199416,100,100,1
2207525,100,100,1
2209465,98.67,99.35,1
2211455,100,100,1
2213265,100,100,1
2216248,100,100,1
2218012,98.57,100,1
2222308,98.73,100,1
2229801,100,100,1
2231132,98.7,100,1
2231486,100,99.29,1
2232237,100,98.89,1
2237053,100,100,1
2241742,100,100,1
2243034,100,100,1
2245532,100,100,1
2246960,100,100,1
2247677,100,100,1
2257780,100,100,1
2266487,34.71,27.96,1
2266508,33.93,26.84,1
2266517,32.2,30.56,1
2266550,38.21,32.84,1
2266553,39.17,31.84,1
2266583,39.32,33.8,1
2266598,36.97,33.64,1
2266604,36.97,31.28,1
2266624,34.09,30.45,1
2267372,100,100,1
2278442,100,100,1
2282376,100,100,1
2282377,100,100,1
2283030,100,100,1
2297366,100,100,1
2299196,100,100,1
2300237,100,100,1
2301089,100,99.33,1
2302033,100,100,1
2311099,100,100,1
2327492,98.55,100,1
2328543,100,99.41,1
2331620,98.82,100,1
2331789,100,100,1
2338866,100,100,1
2338912,100,100,1
2338990,100,100,1
2338994,100,100,1
2339255,100,100,1
2339719,100,100,1
2339726,100,100,1
2341030,100,100,1
2347345,100,100,1
2350186,100,100,1
2369186,100,99.36,1
2369326,100,100,1
2372550,35.21,25.35,1
2376425,100,100,1
2377757,98.77,100,1
2379743,100,100,1
2385695,100,100,1
2388641,100,100,1
2390299,100,100,1
2400726,96.1,95.95,1
2401883,100,100,1
2413246,100,100,1
2419142,97.14,100,1
2420535,100,99.28,1
2421816,100,100,1
2425471,100,100,1
2434750,98.39,100,1
2437259,98.65,100,1
2443188,100,100,1
2447539,100,100,1
2448458,100,100,1
2449295,100,100,1
2463094,100,100,1
2470591,100,100,1
2472956,100,100,1
2484255,100,100,1
2495500,100,100,1
2501148,100,100,1
2502073,100,100,1
2503625,100,99.26,1
2511712,100,100,1
2516567,100,99.24,1
2518132,100,100,1
2526974,98.75,100,1
2527676,100,100,1
2538760,97.92,99.3,1
2562783,100,100,1
2563958,96.23,100,1
2566768,100,100,1
2577246,100,98.64,1
2578626,100,100,1
2581109,100,100,1
2589216,98.84,100,1
2599821,100,100,1
2605293,100,100,1
2608117,100,100,1
2608488,100,100,1
2621058,98.46,100,1
2625924,100,100,1
2626108,90.91,97,1
2626189,100,100,1
2626191,100,100,1
2631641,100,100,1
2641840,100,99.3,1
2642383,100,98.64,1
2642555,100,100,1
2649353,100,99.16,1
2654371,100,99.42,1
2664299,100,100,1
2691713,100,100,1
2698585,100,100,1
2704886,23.46,30.05,1
2709795,100,100,1
2712913,100,100,1
2717710,100,100,1
2718938,100,100,1
2723506,100,99.19,1
2736434,98.57,100,1
2737572,98.21,100,1
2740693,100,100,1
