Position,Freq_D,Freq_R,SNPs
2532,100,100,1
6818,100,100,1
7361,100,100,1
9143,100,100,1
11370,100,100,1
13460,100,100,1
14401,100,100,1
14724,100,100,1
15117,99.15,100,1
23174,100,100,1
27469,100,100,1
30943,100,100,1
31077,100,100,1
36538,100,100,1
39758,100,100,1
42281,100,100,1
43945,100,100,1
51954,100,100,1
57393,100,100,1
62657,100,100,1
70924,100,100,1
72232,100,100,1
76373,99.03,100,1
81963,100,100,1
83329,100,100,1
83842,100,100,1
83982,100,100,1
89200,100,100,1
94344,100,100,1
97696,100,100,1
103600,100,100,1
107485,100,100,1
107794,100,100,1
123520,98.63,100,1
126803,100,100,1
130997,100,100,1
139756,100,98.85,1
143207,100,100,1
143906,99,100,1
152617,100,100,1
164432,100,98.84,1
164676,100,98.65,1
172081,100,100,1
187420,100,100,1
195360,100,100,1
199470,100,100,1
202197,100,100,1
202399,100,100,1
206481,100,97.87,1
206484,100,97.87,1
208322,100,97.7,1
217201,100,100,1
220050,100,100,1
222486,100,100,1
223752,100,100,1
225668,100,100,1
233358,100,100,1
233364,100,100,1
243598,100,100,1
249522,100,100,1
251575,100,100,1
251669,100,100,1
260282,98.88,100,1
284623,100,100,1
309765,100,100,1
320180,100,100,1
325505,100,100,1
331588,100,100,1
342146,100,100,1
342340,100,100,1
343281,98.48,100,1
376608,100,100,1
379707,100,100,1
379738,100,100,1
381030,100,100,1
386013,100,100,1
386935,100,100,1
392261,100,100,1
397275,100,100,1
398685,100,100,1
412280,100,100,1
422745,100,100,1
435190,100,98.77,1
438158,100,100,1
438271,100,100,1
443277,100,100,1
445104,100,100,1
445780,100,100,1
446165,99.21,100,1
447442,100,100,1
454167,100,100,1
454187,100,100,1
455325,100,100,1
455329,100,100,1
456281,100,100,1
468357,100,100,1
487852,100,100,1
489073,100,100,1
491591,100,100,1
491742,100,98.68,1
492150,100,100,1
498531,100,100,1
499174,100,100,1
500339,100,100,1
505974,100,100,1
514657,100,100,1
517358,100,100,1
517411,100,100,1
519185,100,100,1
522081,100,100,1
525833,100,100,1
527316,100,100,1
528354,100,100,1
534427,100,100,1
541675,100,100,1
546357,100,100,1
546914,100,100,1
555991,100,100,1
564179,100,100,1
565404,100,100,1
569897,36.73,42.67,1
573384,100,100,1
575679,100,100,1
580772,100,100,1
584171,100,100,1
584511,100,100,1
590763,100,100,1
599868,100,100,1
601925,100,100,1
608775,98.41,100,1
628895,100,100,1
629925,100,100,1
637730,100,98.92,1
648856,100,100,1
648990,98.94,100,1
655986,100,100,1
657269,100,100,1
657578,98.04,100,1
659341,100,98.46,1
662911,100,100,1
670545,100,100,1
684290,100,100,1
686655,100,98.72,1
690248,100,100,1
690450,100,100,1
700776,100,100,1
705602,100,100,1
713310,100,100,1
715266,100,100,1
717588,100,100,1
749942,100,100,1
757182,100,100,1
760115,100,100,1
763031,100,100,1
765150,100,100,1
776100,100,100,1
782913,100,100,1
787051,100,100,1
788259,100,100,1
805663,100,100,1
815236,100,100,1
815851,100,100,1
816522,100,99.02,1
820752,100,100,1
821907,98.99,98.95,1
824738,100,100,1
832201,100,100,1
832246,100,100,1
868148,100,100,1
871271,100,100,1
891756,100,100,1
894888,100,98.73,1
897209,100,100,1
902413,100,100,1
903633,100,100,1
907422,100,98.28,1
909724,100,100,1
911261,100,100,1
913274,100,100,1
914209,100,100,1
916046,100,100,1
917905,100,100,1
919574,100,100,1
923065,100,98.31,1
931123,100,100,1
932280,100,100,1
933699,100,100,1
934230,100,100,1
934611,100,100,1
938246,100,100,1
941845,100,100,1
948294,100,99.15,1
951142,100,100,1
953233,98.08,100,1
960367,100,100,1
981670,100,100,1
983485,100,100,1
985621,100,100,1
996982,100,100,1
1014815,100,100,1
1019632,100,100,1
1019935,100,100,1
1024346,100,100,1
1035538,100,100,1
1040706,100,100,1
1052866,100,100,1
1053836,100,100,1
1054784,100,100,1
1063765,100,100,1
1073869,100,100,1
1080192,100,100,1
1080528,100,100,1
1097023,100,100,1
1098523,100,100,1
1105284,0,100,2
1107940,100,100,1
1109163,100,100,1
1110956,100,100,1
1111826,100,100,1
1111925,100,100,1
1113290,100,100,1
1123597,100,100,1
1131300,100,100,1
1135251,100,100,1
1143832,100,100,1
1144585,100,100,1
1148255,100,100,1
1148259,100,100,1
1153676,100,100,1
1160770,100,100,1
1177625,98.25,99.05,1
1203824,100,100,1
1211369,100,100,1
1220570,100,100,1
1230778,100,100,1
1232037,100,100,1
1234262,100,100,1
1235446,100,100,1
1248382,100,100,1
1248936,100,100,1
1250340,100,100,1
1250357,100,100,1
1254562,100,100,1
1280188,100,100,1
1281771,100,100,1
1287112,100,100,1
1292464,100,100,1
1310316,100,100,1
1327827,100,100,1
1338172,100,100,1
1341023,96.77,100,1
1341029,100,100,1
1341040,100,100,1
1341044,100,100,1
1351172,100,100,1
1356135,100,100,1
1358940,100,100,1
1367484,100,100,1
1368947,100,100,1
1390763,100,100,1
1393694,100,100,1
1393994,100,100,1
1395010,100,98.39,1
1396035,100,100,1
1396311,100,100,1
1397201,100,100,1
1400396,100,100,1
